Chart of accounts Id,Chart of accounts,ID,Accounting account,Label,Parent account,Group of account,Centralized account,Status,
11,IN-GAAP,100770231,1201,Sundry Debtors - Domestic,1200,THIRDPARTY,0,1,
11,IN-GAAP,100770232,1202,Sundry Debtors - Export,1200,THIRDPARTY,0,1,
11,IN-GAAP,100770233,1203,Doubtful Debts,1200,THIRDPARTY,0,1,
11,IN-GAAP,100770234,1204,Bills Receivable,1200,THIRDPARTY,0,1,
11,IN-GAAP,100770235,1210,Provision for Bad Debts,1200,THIRDPARTY,0,1,
11,IN-GAAP,100770236,1220,Advances to Suppliers,0,THIRDPARTY,0,1,
11,IN-GAAP,100770237,1221,Advances - Raw Materials,1220,THIRDPARTY,0,1,
11,IN-GAAP,100770238,1230,Loans and Advances,0,THIRDPARTY,0,1,
11,IN-GAAP,100770239,1231,Employee Advances,1230,THIRDPARTY,0,1,
11,IN-GAAP,100770240,1232,Loans to Employees,1230,THIRDPARTY,0,1,
11,IN-GAAP,100770241,1240,Other Current Assets,0,THIRDPARTY,0,1,
11,IN-GAAP,100770242,1241,Prepaid Expenses,1240,THIRDPARTY,0,1,
11,IN-GAAP,100770243,1242,Prepaid Insurance,1240,THIRDPARTY,0,1,
11,IN-GAAP,100770244,1243,Prepaid Rent,1240,THIRDPARTY,0,1,
11,IN-GAAP,100770245,1250,Deposits,0,THIRDPARTY,0,1,
11,IN-GAAP,100770246,1251,Security Deposits,1250,THIRDPARTY,0,1,
11,IN-GAAP,100770247,1252,Utility Deposits (Electricity/Water),1250,THIRDPARTY,0,1,
11,IN-GAAP,100770248,1260,Accrued Income,0,THIRDPARTY,0,1,
11,IN-GAAP,100770249,1261,Interest Accrued,1260,THIRDPARTY,0,1,
11,IN-GAAP,100770250,1700,GST Input Tax Credit,0,THIRDPARTY,0,1,
11,IN-GAAP,100770251,1701,GST Input - CGST Receivable,1700,THIRDPARTY,0,1,
11,IN-GAAP,100770252,1702,GST Input - SGST Receivable,1700,THIRDPARTY,0,1,
11,IN-GAAP,100770253,1703,GST Input - IGST Receivable,1700,THIRDPARTY,0,1,
11,IN-GAAP,100770254,1704,GST Input - UTGST Receivable,1700,THIRDPARTY,0,1,
11,IN-GAAP,100770255,1710,GST - RCM Input Credit,1700,THIRDPARTY,0,1,
11,IN-GAAP,100770256,1720,TDS Receivable,0,THIRDPARTY,0,1,
11,IN-GAAP,100770257,1721,TDS on Contracts,1720,THIRDPARTY,0,1,
11,IN-GAAP,100770258,1722,TDS on Professional Fees,1720,THIRDPARTY,0,1,
11,IN-GAAP,100770279,1800,Suspense and Temporary Accounts,0,THIRDPARTY,0,1,
11,IN-GAAP,100770280,1801,Suspense Account,1800,THIRDPARTY,0,1,
11,IN-GAAP,100770281,1802,Currency Difference - Assets,1800,THIRDPARTY,0,1,
11,IN-GAAP,100770282,1810,Other Receivables,0,THIRDPARTY,0,1,
11,IN-GAAP,100770294,1000,Cash and Bank,0,FINAN,0,1,
11,IN-GAAP,100770295,1001,Cash on Hand,1000,FINAN,0,1,
11,IN-GAAP,100770296,1002,Petty Cash,1000,FINAN,0,1,
11,IN-GAAP,100770297,1100,Bank Accounts,1000,FINAN,0,1,
11,IN-GAAP,100770298,1101,Bank - HDFC Current Account,1100,FINAN,0,1,
11,IN-GAAP,100770299,1102,Bank - ICICI Current Account,1100,FINAN,0,1,
11,IN-GAAP,100770300,1103,Bank - SBI Current Account,1100,FINAN,0,1,
11,IN-GAAP,100770301,1110,Bank - Fixed Deposits,1100,FINAN,0,1,
11,IN-GAAP,100770302,1120,Bank Overdraft,1100,FINAN,0,1,
11,IN-GAAP,100770303,1130,Short-term Investments,0,FINAN,0,1,
11,IN-GAAP,100770304,1131,Mutual Funds,1130,FINAN,0,1,
11,IN-GAAP,100770305,1132,Treasury Bills,1130,FINAN,0,1,
11,IN-GAAP,100770306,2000,Trade Payables (Creditors),0,THIRDPARTY,0,1,
11,IN-GAAP,100770307,2001,Sundry Creditors - Domestic,2000,THIRDPARTY,0,1,
11,IN-GAAP,100770308,2002,Sundry Creditors - Import,2000,THIRDPARTY,0,1,
11,IN-GAAP,100770309,2003,Bills Payable,2000,THIRDPARTY,0,1,
11,IN-GAAP,100770310,2010,Advances from Customers,0,THIRDPARTY,0,1,
11,IN-GAAP,100770311,2011,Customer Advances - Domestic,2010,THIRDPARTY,0,1,
11,IN-GAAP,100770312,2012,Customer Advances - Export,2010,THIRDPARTY,0,1,
11,IN-GAAP,100770313,2020,Short-term Loans,0,THIRDPARTY,0,1,
11,IN-GAAP,100770314,2021,Working Capital Loan,2020,THIRDPARTY,0,1,
11,IN-GAAP,100770315,2022,Cash Credit Facility,2020,THIRDPARTY,0,1,
11,IN-GAAP,100770316,2100,GST Output Tax Payable,0,THIRDPARTY,0,1,
11,IN-GAAP,100770317,2101,GST Output - CGST Payable,2100,THIRDPARTY,0,1,
11,IN-GAAP,100770318,2102,GST Output - SGST Payable,2100,THIRDPARTY,0,1,
11,IN-GAAP,100770319,2103,GST Output - IGST Payable,2100,THIRDPARTY,0,1,
11,IN-GAAP,100770320,2104,GST Output - UTGST Payable,2100,THIRDPARTY,0,1,
11,IN-GAAP,100770321,2110,GST - TCS Payable,2100,THIRDPARTY,0,1,
11,IN-GAAP,100770322,2200,Statutory Liabilities,0,THIRDPARTY,0,1,
11,IN-GAAP,100770323,2201,TDS Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770324,2202,TCS Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770325,2203,Income Tax Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770326,2210,PF (Provident Fund) Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770327,2211,Employee PF Payable,2210,THIRDPARTY,0,1,
11,IN-GAAP,100770328,2212,Employer PF Payable,2210,THIRDPARTY,0,1,
11,IN-GAAP,100770329,2220,ESI (Employee State Insurance) Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770330,2221,Employee ESI Payable,2220,THIRDPARTY,0,1,
11,IN-GAAP,100770331,2222,Employer ESI Payable,2220,THIRDPARTY,0,1,
11,IN-GAAP,100770332,2230,Professional Tax Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770333,2240,Labour Welfare Fund Payable,2200,THIRDPARTY,0,1,
11,IN-GAAP,100770334,2300,Employee Payables,0,THIRDPARTY,0,1,
11,IN-GAAP,100770335,2301,Salaries Payable,2300,THIRDPARTY,0,1,
11,IN-GAAP,100770336,2302,Wages Payable,2300,THIRDPARTY,0,1,
11,IN-GAAP,100770337,2303,Bonus Payable,2300,THIRDPARTY,0,1,
11,IN-GAAP,100770338,2304,Overtime Payable,2300,THIRDPARTY,0,1,
11,IN-GAAP,100770339,2310,Leave Encashment Payable,2300,THIRDPARTY,0,1,
11,IN-GAAP,100770340,2400,Other Current Liabilities,0,THIRDPARTY,0,1,
11,IN-GAAP,100770341,2401,Expenses Payable,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770342,2402,Electricity Payable,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770343,2403,Rent Payable,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770344,2410,Interest Payable,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770345,2420,Security Deposits from Customers,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770346,2430,Accrued Expenses,2400,THIRDPARTY,0,1,
11,IN-GAAP,100770347,2800,Currency Difference - Liabilities,0,THIRDPARTY,0,1,
11,IN-GAAP,100770393,4000,Revenue from Operations - Domestic,0,INCOME,0,1,
11,IN-GAAP,100770394,4001,Sales - Finished Products (Intra-state),4000,INCOME,0,1,
11,IN-GAAP,100770395,4002,Sales - Finished Products (Inter-state),4000,INCOME,0,1,
11,IN-GAAP,100770396,4010,Sales - By-products and Scrap,4000,INCOME,0,1,
11,IN-GAAP,100770397,4020,Job Work Charges,4000,INCOME,0,1,
11,IN-GAAP,100770398,4030,Service Income - Domestic,4000,INCOME,0,1,
11,IN-GAAP,100770399,4100,Revenue - Export,0,INCOME,0,1,
11,IN-GAAP,100770400,4101,Export Sales - Products,4100,INCOME,0,1,
11,IN-GAAP,100770401,4102,Export Sales - Services,4100,INCOME,0,1,
11,IN-GAAP,100770402,4200,Sales Returns and Allowances,0,INCOME,0,1,
11,IN-GAAP,100770403,4201,Sales Returns - Domestic,4200,INCOME,0,1,
11,IN-GAAP,100770404,4202,Sales Returns - Export,4200,INCOME,0,1,
11,IN-GAAP,100770405,4203,Discounts and Rebates Allowed,4200,INCOME,0,1,
11,IN-GAAP,100770406,4300,Other Operating Revenue,0,INCOME,0,1,
11,IN-GAAP,100770407,4301,Government Grants and Subsidies,4300,INCOME,0,1,
11,IN-GAAP,100770408,4302,Insurance Claims Received,4300,INCOME,0,1,
11,IN-GAAP,100770409,4400,Other Income,0,INCOME,0,1,
11,IN-GAAP,100770410,4401,Interest Income,4400,INCOME,0,1,
11,IN-GAAP,100770411,4402,Dividend Income,4400,INCOME,0,1,
11,IN-GAAP,100770412,4403,Rent Income,4400,INCOME,0,1,
11,IN-GAAP,100770413,4404,Profit on Sale of Fixed Assets,4400,INCOME,0,1,
11,IN-GAAP,100770414,4405,Foreign Exchange Gain,4400,INCOME,0,1,
11,IN-GAAP,100770415,4406,Miscellaneous Income,4400,INCOME,0,1,
11,IN-GAAP,100770416,4410,Reversal of Provisions,4400,INCOME,0,1,
11,IN-GAAP,100770322,5000,Cost of Materials Consumed,0,EXPENSE,0,1,
11,IN-GAAP,100770323,5001,Raw Material Purchases - Domestic,5000,EXPENSE,0,1,
11,IN-GAAP,100770324,5002,Raw Material Purchases - Interstate,5000,EXPENSE,0,1,
11,IN-GAAP,100770325,5003,Raw Material Purchases - Import,5000,EXPENSE,0,1,
11,IN-GAAP,100770326,5010,Packing Material Purchases,5000,EXPENSE,0,1,
11,IN-GAAP,100770327,5020,Purchase Returns,5000,EXPENSE,0,1,
11,IN-GAAP,100770328,5030,Freight Inward on Purchases,5000,EXPENSE,0,1,
11,IN-GAAP,100770329,5040,Changes in Inventory,5000,EXPENSE,0,1,
11,IN-GAAP,100770330,5100,Direct Labor,0,EXPENSE,0,1,
11,IN-GAAP,100770331,5101,Direct Wages - Production,5100,EXPENSE,0,1,
11,IN-GAAP,100770332,5102,Contract Labor - Manufacturing,5100,EXPENSE,0,1,
11,IN-GAAP,100770333,5200,Manufacturing Expenses,0,EXPENSE,0,1,
11,IN-GAAP,100770334,5201,Power and Fuel,5200,EXPENSE,0,1,
11,IN-GAAP,100770335,5202,Water Charges - Factory,5200,EXPENSE,0,1,
11,IN-GAAP,100770336,5203,Factory Rent,5200,EXPENSE,0,1,
11,IN-GAAP,100770337,5204,Factory Maintenance and Repairs,5200,EXPENSE,0,1,
11,IN-GAAP,100770338,5205,Consumables and Stores,5200,EXPENSE,0,1,
11,IN-GAAP,100770339,5206,Job Work Charges Paid,5200,EXPENSE,0,1,
11,IN-GAAP,100770340,5207,Factory Insurance,5200,EXPENSE,0,1,
11,IN-GAAP,100770341,5208,Quality Testing Charges,5200,EXPENSE,0,1,
11,IN-GAAP,100770342,6000,Employee Benefits Expense,0,EXPENSE,0,1,
11,IN-GAAP,100770343,6001,Salaries - Administrative,6000,EXPENSE,0,1,
11,IN-GAAP,100770344,6002,Salaries - Sales and Marketing,6000,EXPENSE,0,1,
11,IN-GAAP,100770345,6003,Staff Welfare Expenses,6000,EXPENSE,0,1,
11,IN-GAAP,100770346,6010,Employer Contribution - PF,6000,EXPENSE,0,1,
11,IN-GAAP,100770347,6011,Employer Contribution - ESI,6000,EXPENSE,0,1,
11,IN-GAAP,100770348,6012,Employer Contribution - Gratuity,6000,EXPENSE,0,1,
11,IN-GAAP,100770349,6013,Staff Medical Insurance,6000,EXPENSE,0,1,
11,IN-GAAP,100770350,6020,Recruitment and Training,6000,EXPENSE,0,1,
11,IN-GAAP,100770351,6100,Administrative Expenses,0,EXPENSE,0,1,
11,IN-GAAP,100770352,6101,Office Rent,6100,EXPENSE,0,1,
11,IN-GAAP,100770353,6102,Office Maintenance,6100,EXPENSE,0,1,
11,IN-GAAP,100770354,6103,Electricity - Office,6100,EXPENSE,0,1,
11,IN-GAAP,100770355,6104,Telephone and Internet,6100,EXPENSE,0,1,
11,IN-GAAP,100770356,6105,Postage and Courier,6100,EXPENSE,0,1,
11,IN-GAAP,100770357,6106,Printing and Stationery,6100,EXPENSE,0,1,
11,IN-GAAP,100770358,6107,Office Supplies,6100,EXPENSE,0,1,
11,IN-GAAP,100770359,6110,Legal and Professional Fees,6100,EXPENSE,0,1,
11,IN-GAAP,100770360,6111,Audit Fees,6110,EXPENSE,0,1,
11,IN-GAAP,100770361,6112,Consultancy Fees,6110,EXPENSE,0,1,
11,IN-GAAP,100770362,6113,Legal Fees,6110,EXPENSE,0,1,
11,IN-GAAP,100770363,6120,License and Registration Fees,6100,EXPENSE,0,1,
11,IN-GAAP,100770364,6130,Insurance - General,6100,EXPENSE,0,1,
11,IN-GAAP,100770365,6200,Selling and Distribution Expenses,0,EXPENSE,0,1,
11,IN-GAAP,100770366,6201,Freight Outward,6200,EXPENSE,0,1,
11,IN-GAAP,100770367,6202,Transportation Charges,6200,EXPENSE,0,1,
11,IN-GAAP,100770368,6203,Packing and Forwarding,6200,EXPENSE,0,1,
11,IN-GAAP,100770369,6210,Sales Commission,6200,EXPENSE,0,1,
11,IN-GAAP,100770370,6211,Brokerage,6200,EXPENSE,0,1,
11,IN-GAAP,100770371,6220,Advertisement and Marketing,6200,EXPENSE,0,1,
11,IN-GAAP,100770372,6221,Trade Fair and Exhibition,6220,EXPENSE,0,1,
11,IN-GAAP,100770373,6230,Travel and Conveyance - Sales,6200,EXPENSE,0,1,
11,IN-GAAP,100770374,6231,Vehicle Running - Sales,6230,EXPENSE,0,1,
11,IN-GAAP,100770375,6300,Depreciation and Amortization,0,EXPENSE,0,1,
11,IN-GAAP,100770376,6301,Depreciation - Buildings,6300,EXPENSE,0,1,
11,IN-GAAP,100770377,6302,Depreciation - Plant and Machinery,6300,EXPENSE,0,1,
11,IN-GAAP,100770378,6303,Depreciation - Furniture and Fixtures,6300,EXPENSE,0,1,
11,IN-GAAP,100770379,6304,Depreciation - Vehicles,6300,EXPENSE,0,1,
11,IN-GAAP,100770380,6305,Depreciation - Office Equipment,6300,EXPENSE,0,1,
11,IN-GAAP,100770381,6306,Amortization of Intangible Assets,6300,EXPENSE,0,1,
11,IN-GAAP,100770382,6400,Finance Costs,0,EXPENSE,0,1,
11,IN-GAAP,100770383,6401,Interest on Term Loans,6400,EXPENSE,0,1,
11,IN-GAAP,100770384,6402,Interest on Working Capital,6400,EXPENSE,0,1,
11,IN-GAAP,100770385,6403,Bank Charges and Commission,6400,EXPENSE,0,1,
11,IN-GAAP,100770386,6404,Foreign Exchange Loss,6400,EXPENSE,0,1,
11,IN-GAAP,100770387,6500,Other Expenses,0,EXPENSE,0,1,
11,IN-GAAP,100770388,6501,Repairs and Maintenance - General,6500,EXPENSE,0,1,
11,IN-GAAP,100770389,6502,Bad Debts Written Off,6500,EXPENSE,0,1,
11,IN-GAAP,100770390,6503,Loss on Sale of Fixed Assets,6500,EXPENSE,0,1,
11,IN-GAAP,100770391,6504,Penalties and Fines,6500,EXPENSE,0,1,
11,IN-GAAP,100770392,6505,Donation and Charity,6500,EXPENSE,0,1,
11,IN-GAAP,100770417,6510,Provision for Doubtful Debts,6500,EXPENSE,0,1,
11,IN-GAAP,100770418,6511,Provision for Obsolete Stock,6500,EXPENSE,0,1,
11,IN-GAAP,100770419,6520,Miscellaneous Expenses,6500,EXPENSE,0,1,
